City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
466,aripuana,-9.1667,-60.6333,21.05,99,39,0.41,BR,1675834665
467,makokou,0.5738,12.8642,21.43,94,91,0.6,GA,1675835046
468,richards bay,-28.783,32.0377,23.82,90,55,4.82,ZA,1675835046
469,tahta,26.7693,31.5021,9.7,52,97,1.84,EG,1675835047
470,bath,51.3779,-2.3591,2.21,94,9,1.61,GB,1675835048
471,aiken,33.5835,-81.5998,13.16,91,0,0.0,US,1675835048
472,ishigaki,24.3448,124.1572,22.07,78,75,6.69,JP,1675835049
473,aguimes,27.9054,-15.4461,13.14,62,20,3.09,ES,1675835049
474,kuito,-12.3833,16.9333,15.42,79,100,1.09,AO,1675835049
475,saint-georges,12.0564,-61.7485,24.7,80,93,6.0,GD,1675835050
476,anchorage,61.2181,-149.9003,-1.44,92,100,6.69,US,1675834976
477,salalah,17.0151,54.0924,24.05,64,0,2.57,OM,1675835051
478,palembang,-2.9167,104.7458,32.05,62,75,4.12,ID,1675834954
479,petropavlovka,50.6114,105.3196,-13.14,85,42,0.97,RU,1675835052
480,gongzhuling,43.5008,124.8198,-3.32,42,0,5.55,CN,1675835053
481,pundaguitan,6.3711,126.1689,26.52,70,98,1.45,PH,1675835053
482,privas,44.5833,4.5,-0.27,89,7,1.58,FR,1675835054
483,wenling,28.3669,121.36,9.81,79,100,5.06,CN,1675835055
484,puerto el triunfo,13.2833,-88.55,24.52,65,4,1.51,SV,1675835055
485,kuytun,54.3419,101.5036,-11.32,84,100,1.71,RU,1675835056
486,sosva,59.1766,61.8558,-14.85,93,98,2.35,RU,1675835057
487,scarborough,54.2797,-0.4044,5.36,88,50,4.15,GB,1675834956
488,poum,-20.2333,164.0167,26.7,86,100,9.52,NC,1675834546
489,marathon,44.9,-89.7668,-1.42,71,0,3.09,US,1675834600
490,souillac,-20.5167,57.5167,28.21,74,75,6.69,MU,1675835058
491,jiexiu,37.0244,111.9125,6.01,44,100,2.64,CN,1675835058
492,russell,32.3502,-85.1999,16.57,87,0,1.54,US,1675834631
493,mandera,3.9366,41.867,27.7,50,1,5.01,KE,1675835059
494,wilson,36.1501,-86.2833,13.66,83,100,0.0,US,1675835059
495,roebourne,-20.7833,117.1333,34.73,42,54,6.95,AU,1675835060
496,whitehorse,60.7161,-135.0538,-6.57,73,20,6.17,CA,1675835061
497,abeche,13.8292,20.8324,18.25,26,84,5.07,TD,1675835061
498,mount isa,-20.7333,139.5,31.87,51,100,7.72,AU,1675835061
499,puerto narino,-3.7703,-70.3831,22.04,98,96,0.65,CO,1675835062
500,wynyard,-41.0,145.7167,17.21,86,98,3.36,AU,1675835063
501,togur,58.3631,82.8265,-15.28,91,95,3.56,RU,1675834635
502,mount gambier,-37.8333,140.7667,21.03,53,10,5.97,AU,1675835063
503,kieta,-6.2167,155.6333,29.03,70,49,3.06,PG,1675834604
504,florianopolis,-27.6146,-48.5012,22.57,88,40,2.57,BR,1675834512
